,name,sex,age,is_adult,job,class_dept,is_passenger,joined,boat_body,ticketprice,survived
584,"DUQUEMIN, Mr Joseph Pierre",male,24.0,True,Mason,3rd Class Passenger,True,Southampton,D,7.55,True
585,"DURÁN I MONÉ, Sra. Asuncion",female,27.0,True,,2nd Class Passenger,True,Cherbourg,12,13.858333333333333,True
586,"DURÁN I MONÉ, Sra. Florentina",female,30.0,True,,2nd Class Passenger,True,Cherbourg,12,13.858333333333333,True
587,"DWAN, Mr Frank",male,65.0,True,Fisherman,3rd Class Passenger,True,Queenstown,,7.75,False
588,"DYER, Mr Henry Ryland",male,24.0,True,Senior Assistant 4th. Engineer,Engineering Crew,False,Belfast,,0.0,False
589,"DYER, Mr William Henry",male,33.0,True,Saloon Steward (1st class),Victualling Crew,False,Southampton,,0.0,False
590,"DYKER, Mrs Anna Elisabeth Judith",female,22.0,True,Singer,3rd Class Passenger,True,Southampton,16,13.9,True
591,"DYKER, Mr Adolf Fredrik",male,23.0,True,General Labourer,3rd Class Passenger,True,Southampton,,13.9,False
592,"DYMOND, Mr Frank",male,36.0,True,Fireman,Engineering Crew,False,Southampton,15,0.0,True
593,"DĀHIR, Mr Ṭannūs",male,28.0,True,,3rd Class Passenger,True,Cherbourg,,7.229166666666667,False
594,"DĪBŪ, Mr Ilyās",male,29.0,True,General Labourer,3rd Class Passenger,True,Cherbourg,,7.2250000000000005,False
595,"EAGLE, Mr Alfred James Jacob",male,27.0,True,Trimmer,Engineering Crew,False,Southampton,,0.0,False
596,"EARNSHAW, Mrs Olive",female,23.0,True,Of Independent Means,1st Class Passenger,True,Cherbourg,7,83.15833333333335,True
597,"EASTMAN, Mr Charles",male,44.0,True,Greaser,Engineering Crew,False,Southampton,,0.0,False
598,"EDBROOKE, Mr Francis Samuel Jacob",male,23.0,True,Third class steward,Victualling Crew,False,Southampton,,0.0,False
599,"EDE, Mr George Bulkeley",male,23.0,True,3rd Class Steward,Victualling Crew,False,Southampton,,0.0,False
600,"EDGE, Mr Frederick William",male,39.0,True,Deck Steward (2nd class),Victualling Crew,False,Southampton,,0.0,False
601,"EDVARDSSON, Mr Gustaf Hjalmar",male,18.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.775,False
602,"EDWARDS, Mr Charles Essex",male,39.0,True,Assistant Pantryman Steward (1st Class),Victualling Crew,False,Southampton,,0.0,False
603,"EGG, Mr William Henry",male,48.0,True,Third class steward,Victualling Crew,False,Southampton,,0.0,False
604,"EITEMILLER, Mr George Floyd",male,25.0,True,,2nd Class Passenger,True,Southampton,,13.0,False
605,"EKLUND, Mr Hans Linus",male,16.0,False,General Labourer,3rd Class Passenger,True,Southampton,,7.775,False
606,"EKSTRÖM, Mr Johan",male,45.0,True,General Labourer,3rd Class Passenger,True,Southampton,,6.9750000000000005,False
607,"ELIAS NASRALLAH, MrTannous",male,22.0,True,General Labourer,3rd Class Passenger,True,Cherbourg,,7.229166666666667,False
608,"ELIAS, Mr Joseph jr.",male,15.0,False,General Labourer,3rd Class Passenger,True,Cherbourg,,7.229166666666667,False
609,"ELLIOTT, Mr Everett Edward",male,23.0,True,Trimmer,Engineering Crew,False,Southampton,[317],0.0,False
610,"ELLIS, Mr John Bertie",male,28.0,True,Assistant Vegetable Cook,Victualling Crew,False,Southampton,2,0.0,True
611,"ELSBURY, Mr William James",male,48.0,True,Farmer,3rd Class Passenger,True,Southampton,,7.25,False
612,"ENANDER, Mr Ingvar",male,21.0,True,,2nd Class Passenger,True,Southampton,,13.0,False
613,"ENDRES, Miss Caroline Louise",female,39.0,True,Nurse,1st Class Passenger,True,Cherbourg,4,247.525,True
614,"ENNIS, Mr Walter",male,34.0,True,Turkish Bath Attendant,Victualling Crew,False,Southampton,,0.0,False
615,"ERVINE, Mr Albert George",male,18.0,True,Assistant Electrician,Engineering Crew,False,Belfast,,0.0,False
616,"ESTANISLAU, Mr Manuel Gonçalves",male,37.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.05,False
617,"ETCHES, Mr Henry Samuel",male,43.0,True,First class bedroom steward,Victualling Crew,False,Belfast,5,0.0,True
618,"EUSTIS, Miss Elizabeth Mussey",female,54.0,True,,1st Class Passenger,True,Cherbourg,4,78.26666666666667,True
619,"EVANS, Miss Edith Corse",female,36.0,True,,1st Class Passenger,True,Cherbourg,,31.679166666666664,False
620,"EVANS, Mr Alfred Frank",male,25.0,True,Lookout,Deck Crew,False,Southampton,15,0.0,True
621,"EVANS, Mr Frank Oliver",male,27.0,True,Able Seaman,Deck Crew,False,Southampton,10,0.0,True
622,"EVANS, Mr George Richard",male,27.0,True,Saloon Steward (1st class),Victualling Crew,False,Belfast,,0.0,False
623,"EVANS, Mr William Thomas",male,33.0,True,Trimmer,Engineering Crew,False,Southampton,[31],0.0,False
624,"EVERETT, Mr Thomas James",male,37.0,True,Crane Operator,3rd Class Passenger,True,Southampton,[187],15.1,False
625,"FAHLSTRØM, Mr Arne Joma",male,18.0,True,,2nd Class Passenger,True,Southampton,,13.0,False
626,"FAIRALL, Mr Henry Charles",male,38.0,True,Saloon Steward (1st class),Victualling Crew,False,Belfast,,0.0,False
627,"FARDON, Mr Charles Richard",male,46.0,True,Carpenter / Joiner,3rd Class Passenger,True,Southampton,,7.25,False
628,"FARENDEN, Mr Ernest John",male,22.0,True,Confectioner,Victualling Crew,False,Belfast,,0.0,False
629,"FARQUHARSON, MrWilliam Edward",male,39.0,True,Senior 2nd. Engineer,Engineering Crew,False,Belfast,,0.0,False
630,"FARRELL, Mr James",male,26.0,True,Farm Labourer,3rd Class Passenger,True,Queenstown,[68],7.75,False
631,"FARTHING, Mr John",male,48.0,True,Servant,1st Class Passenger,True,Southampton,,221.77916666666667,False
632,"FAULKNER, Mr William Stephen",male,37.0,True,1st Class Bedroom Steward,Victualling Crew,False,Belfast,11,0.0,True
633,"FAUNTHORPE, Mr Harry Bartram",male,31.0,True,,2nd Class Passenger,True,Southampton,[286],26.0,False
634,"FAY, Mr Thomas Joseph",male,30.0,True,Greaser,Engineering Crew,False,Southampton,,0.0,False
635,"FEI, Sig. Carlo",male,19.0,True,Scullion,Restaurant Staff,False,Southampton,,0.0,False
636,"FELLOWES, Mr Alfred James",male,28.0,True,Assistant boots steward (1st class),Victualling Crew,False,Belfast,[138],0.0,False
637,"FELTHAM, Mr George William",male,41.0,True,Vienna Baker,Victualling Crew,False,Southampton,,0.0,False
638,"FERRARY, Mr Antonio",male,33.0,True,Trimmer,Engineering Crew,False,Southampton,,0.0,False
639,"FERRIS, Mr William",male,39.0,True,Leading Fireman,Engineering Crew,False,Southampton,,0.0,False
640,"FILLBROOK, Mr Joseph Charles",male,18.0,True,Painter & Decorator,2nd Class Passenger,True,Southampton,,10.5,False
641,"FINCH, Mr Henry Herman",male,18.0,True,Steward (3rd Class),Victualling Crew,False,Southampton,,0.0,False
642,"FINOLI, Mr Luigi",male,41.0,True,,3rd Class Passenger,True,Southampton,15,7.05,True
643,"FIORAVANTE, Sig.Giuseppe Bertoldo",male,23.0,True,Assistant Scullion,Restaurant Staff,False,Southampton,,0.0,False
644,"FISCHER, Mr Eberhard Thelander",male,18.0,True,,3rd Class Passenger,True,Southampton,,7.795833333333333,False
645,"FITZPATRICK, Mr Cecil William",male,21.0,True,Mess Steward,Engineering Crew,False,Southampton,B,0.0,True
646,"FITZPATRICK, Mr Hugh Joseph",male,29.0,True,Junior Boilermaker,Engineering Crew,False,Belfast,,0.0,False
647,"FLAHERTY, Mr Edward",male,52.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,True
648,"FLEET, Mr Frederick",male,24.0,True,Lookout,Deck Crew,False,Belfast,6,0.0,True
649,"FLEGENHEIM, Mrs Antoinette",female,48.0,True,,1st Class Passenger,True,Cherbourg,7,31.683333333333334,True
650,"FLEMING, Miss Honor",female,22.0,True,,3rd Class Passenger,True,Queenstown,,7.75,False
651,"FLEMING, Miss Margaret",female,42.0,True,Personal Maid,1st Class Passenger,True,Cherbourg,4,110.88333333333333,True
652,"FLETCHER, Mr Percy William",male,25.0,True,Bugler Steward,Victualling Crew,False,Belfast,,0.0,False
653,"FLYNN, Mr James",male,28.0,True,General Labourer,3rd Class Passenger,True,Queenstown,,7.75,False
654,"FLYNN, Mr John",male,48.0,True,Farm Labourer,3rd Class Passenger,True,Queenstown,,6.95,False
655,"FLYNN, Mr John Irwin",male,36.0,True,,1st Class Passenger,True,Southampton,5,26.2875,True
656,"FOLEY, Mr John",male,46.0,True,Deck storekeeper,Deck Crew,False,Belfast,,0.0,True
657,"FOLEY, Mr Joseph",male,19.0,True,Farm Labourer,3rd Class Passenger,True,Queenstown,,7.879166666666666,False
658,"FOLEY, Mr Wilfred Cyril",male,21.0,True,3rd Class Steward,Victualling Crew,False,Southampton,13,0.0,True
659,"FOLEY, Mr William",male,20.0,True,Farm Labourer,3rd Class Passenger,True,Queenstown,,7.75,False
660,"FOO, Mr Choong",male,32.0,True,Seaman,3rd Class Passenger,True,Southampton,13,56.49583333333334,True
661,"FORD, Miss Dollina Margaret",female,20.0,True,Servant,3rd Class Passenger,True,Southampton,,34.375,False
662,"FORD, Miss Robina Maggie",female,7.0,False,,3rd Class Passenger,True,Southampton,,34.375,False
663,"FORD, Mrs Margaret Ann Watson",female,54.0,True,Farmer,3rd Class Passenger,True,Southampton,,34.375,False
664,"FORD, Mr Arthur",male,23.0,True,Carpenter / Joiner,3rd Class Passenger,True,Southampton,,8.05,False
665,"FORD, Mr Edward Watson",male,18.0,True,Blacksmith,3rd Class Passenger,True,Southampton,,34.375,False
666,"FORD, Mr Ernest",male,33.0,True,3rd Class Steward,Victualling Crew,False,Southampton,,0.0,False
667,"FORD, Mr Francis",male,44.0,True,Bedroom Steward (2nd class),Victualling Crew,False,Southampton,,0.0,False
668,"FORD, Mr H.",male,22.0,True,Trimmer,Engineering Crew,False,Southampton,,0.0,False
669,"FORD, Mr Thomas",male,33.0,True,Leading Fireman,Engineering Crew,False,Southampton,,0.0,False
670,"FORD, Mr William Neal Thomas",male,14.0,False,Messenger,3rd Class Passenger,True,Southampton,,34.375,False
671,"FOREMAN, Mr Benjamin Laventall",male,30.0,True,,1st Class Passenger,True,Southampton,,27.75,False
672,"FORTUNE, Miss Alice Elizabeth",female,24.0,True,,1st Class Passenger,True,Southampton,10,263.0,True
673,"FORTUNE, Miss Ethel Flora",female,28.0,True,,1st Class Passenger,True,Southampton,10,263.0,True
674,"FORTUNE, Miss Mabel Helen",female,23.0,True,,1st Class Passenger,True,Southampton,10,263.0,True
675,"FORTUNE, Mrs Mary",female,60.0,True,,1st Class Passenger,True,Southampton,10,263.0,True
676,"FORTUNE, Mr Charles Alexander",male,19.0,True,,1st Class Passenger,True,Southampton,,263.0,False
677,"FORTUNE, Mr Mark",male,64.0,True,,1st Class Passenger,True,Southampton,,263.0,False
678,"FORWARD, Mr James",male,27.0,True,Able Seaman,Deck Crew,False,Southampton,16,0.0,True
679,"FOSTER, Mr Alfred Charles",male,37.0,True,Storekeeper (Engineering),Engineering Crew,False,Belfast,,0.0,False
680,"FOX, Mr Patrick",male,28.0,True,General Labourer,3rd Class Passenger,True,Queenstown,,7.75,False
681,"FOX, Mr Stanley Harrington",male,38.0,True,Businessman,2nd Class Passenger,True,Southampton,[236],13.0,False
682,"FOX, Mr William Thomas",male,27.0,True,Steward,Victualling Crew,False,Southampton,,0.0,False
683,"FRANCATELLI, Miss Laura Mabel",female,31.0,True,Secretary,1st Class Passenger,True,Cherbourg,1,56.92916666666667,True
684,"FRANKLIN, Mr Alan Vincent",male,28.0,True,Saloon Steward (2nd class),Victualling Crew,False,Southampton,[262],0.0,False
685,"FRANKLIN, Mr Thomas Parnham",male,37.0,True,,1st Class Passenger,True,Southampton,,26.55,False
686,"FRASER, Mr J.",male,30.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
687,"FRASER, Mr James",male,30.0,True,Junior Assistant 3rd. Engineer,Engineering Crew,False,Belfast,,0.0,False
688,"FRAUENTHAL, Dr Henry William",male,49.0,True,Doctor,1st Class Passenger,True,Southampton,5,133.65,True
689,"FRAUENTHAL, Mrs Clara",female,42.0,True,,1st Class Passenger,True,Southampton,5,133.65,True
690,"FRAUENTHAL, Mr Isaac Gerald",male,43.0,True,,1st Class Passenger,True,Cherbourg,5,27.72083333333333,True
691,"FREDERICKS, Mr Walter Francis",male,21.0,True,Trimmer,Engineering Crew,False,Southampton,15,0.0,True
692,"FREEMAN, Mr Ernest Edward Samuel",male,45.0,True,Deck Steward (1st Class),Victualling Crew,False,Belfast,[239],0.0,False
693,"FROST, Mr Anthony Wood",male,38.0,True,Fitter,2nd Class Passenger,True,Belfast,,0.0,False
694,"FRY, Mr Richard Thomas",male,39.0,True,Personal Valet,1st Class Passenger,True,Southampton,,0.0,False
695,"FRYER, Mr Albert Ernest",male,29.0,True,Trimmer,Engineering Crew,False,Southampton,,0.0,True
696,"FRÖLICHER, Miss Hedwig Margaritha",female,22.0,True,,1st Class Passenger,True,Cherbourg,5,49.5,True
697,"FRÖLICHER-STEHLI, MrMaximilian Josef",male,60.0,True,,1st Class Passenger,True,Cherbourg,5,79.2,True
698,"FRÖLICHER-STEHLI, MrsMargaretha Emerentia",female,48.0,True,,1st Class Passenger,True,Cherbourg,5,79.2,True
699,"FUNK, Miss Annie Clemmer",female,38.0,True,Missionary,2nd Class Passenger,True,Southampton,,13.0,False
700,"FUTRELLE, Mrs Lily May",female,35.0,True,,1st Class Passenger,True,Southampton,D,53.1,True
701,"FUTRELLE, Mr Jacques Heath",male,37.0,True,Writer,1st Class Passenger,True,Southampton,,53.1,False
702,"FYNNEY, Mr Joseph J.",male,36.0,True,Rubber Merchant,2nd Class Passenger,True,Southampton,[322],26.0,False
703,"GALE, Mr Harry",male,37.0,True,Miner,2nd Class Passenger,True,Southampton,,21.0,False
704,"GALE, Mr Shadrach",male,33.0,True,Miner,2nd Class Passenger,True,Southampton,,21.0,False
705,"GALLAGHER, Mr Martin",male,29.0,True,Farm Labourer,3rd Class Passenger,True,Queenstown,,7.741666666666667,False
706,"GARFIRTH, Mr John",male,21.0,True,Shoemaker,3rd Class Passenger,True,Southampton,,14.5,False
707,"GARSIDE, Miss Ethel",female,39.0,True,,2nd Class Passenger,True,Southampton,12,13.0,True
708,"GASKELL, Mr William Alfred",male,19.0,True,Cooper,2nd Class Passenger,True,Southampton,,26.0,False
709,"GATTI, Sig. Gaspare Antonio Pietro",male,37.0,True,Ã  la Carte Restaurant Manager,Restaurant Staff,False,Southampton,[313],0.0,False
710,"GAVEY, Mr Laurence",male,26.0,True,,2nd Class Passenger,True,Southampton,,10.5,False
711,"GEDDES, Mr Richard Charles",male,32.0,True,Bed Room Steward (1st class),Victualling Crew,False,Southampton,,0.0,False
712,"GEE, Mr Arthur H.",male,47.0,True,,1st Class Passenger,True,Southampton,[275],38.5,False
713,"GEER, Mr Alfred Emest",male,26.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
714,"GEORGIEV, Mr Stenyu",male,,,General Labourer,3rd Class Passenger,True,Cherbourg,,7.895833333333333,False
715,"GIBBONS, Mr Jacob William",male,36.0,True,Second Class Steward,Victualling Crew,False,Southampton,11,0.0,True
716,"GIBSON, Miss Dorothy Winifred",female,22.0,True,,1st Class Passenger,True,Cherbourg,7,59.4,True
717,"GIBSON, Mrs Pauline Caroline",female,45.0,True,,1st Class Passenger,True,Cherbourg,7,59.4,True
718,"GIEGER, Miss Amalie Henriette",female,35.0,True,Personal Maid,1st Class Passenger,True,Southampton,4,211.5,True
719,"GIGLIO, Mr Victor Gaitan Andrea",male,23.0,True,Servant,1st Class Passenger,True,Cherbourg,,79.2,False
720,"GILARDINO, Sig. Vincenzo Pio",male,31.0,True,Waiter,Restaurant Staff,False,Southampton,,0.0,False
721,"GILBERT, Mr William",male,46.0,True,,2nd Class Passenger,True,Southampton,,10.5,False
722,"GILES, Mr Edgar",male,18.0,True,Cab Driver,2nd Class Passenger,True,Southampton,,11.5,False
723,"GILES, Mr Frederick Edward",male,20.0,True,Bus Driver,2nd Class Passenger,True,Southampton,,11.5,False
724,"GILES, Mr John Robert",male,32.0,True,2nd Baker,Victualling Crew,False,Southampton,,0.0,False
725,"GILES, Mr Ralph",male,24.0,True,,2nd Class Passenger,True,Southampton,[297],13.5,False
726,"GILINSKI, Mr Eliezer",male,23.0,True,Locksmith,3rd Class Passenger,True,Southampton,[47],8.05,False
727,"GILL, Mr John",male,24.0,True,Chauffeur,2nd Class Passenger,True,Southampton,[155],13.0,False
728,"GILL, Mr Joseph Stanley",male,38.0,True,Bed Room Steward,Victualling Crew,False,Belfast,[49],0.0,False
729,"GILL, Mr Patrick",male,38.0,True,Ship's Cook,Victualling Crew,False,Southampton,,0.0,False
730,"GILLESPIE, Mr William Henry",male,31.0,True,Clerk,2nd Class Passenger,True,Southampton,,13.0,False
731,"GILNAGH, Miss Kate",female,17.0,False,,3rd Class Passenger,True,Queenstown,16,7.733333333333333,True
732,"GIVARD, Mr Hans Kristensen",male,27.0,True,,2nd Class Passenger,True,Southampton,[305],13.0,False
733,"GLYNN, Miss Mary Agatha",female,18.0,True,Maid,3rd Class Passenger,True,Queenstown,13,7.75,True
734,"GODLEY, Mr George Auguste",male,38.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,True
735,"GODWIN, Mr Frederick Charles",male,36.0,True,Greaser,Engineering Crew,False,Southampton,,0.0,False
736,"GOLD, Mrs Jane Kate Coulson",female,45.0,True,Stewardess,Victualling Crew,False,Southampton,,0.0,True
737,"GOLDENBERG, Mrs Nella Carlynne",female,46.0,True,,1st Class Passenger,True,Cherbourg,5,89.10416666666666,True
738,"GOLDENBERG, Mr Samuel Levi",male,47.0,True,,1st Class Passenger,True,Cherbourg,5,89.10416666666666,True
739,"GOLDER, Mr Martin William",male,35.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
740,"GOLDSCHMIDT, MrGeorge B.",male,71.0,True,Lawyer,1st Class Passenger,True,Cherbourg,,34.65416666666667,False
741,"GOLDSMITH, Master Frank John William",male,9.0,False,,3rd Class Passenger,True,Southampton,C,20.525,True
742,"GOLDSMITH, Mrs Emily Alice",female,31.0,True,,3rd Class Passenger,True,Southampton,C,20.525,True
743,"GOLDSMITH, Mr Frank John",male,33.0,True,Turner,3rd Class Passenger,True,Southampton,,20.525,False
744,"GOLDSMITH, Mr Nathan",male,41.0,True,Shoemaker,3rd Class Passenger,True,Southampton,,7.85,False
745,"GOLLOP, Mr Percival Salisbury",male,30.0,True,Assistant Passage Cook,Victualling Crew,False,Southampton,,0.0,False
746,"GOODWIN, MasterWilliam Frederick",male,13.0,False,,3rd Class Passenger,True,Southampton,,46.9,False
747,"GOODWIN, Master Harold Victor",male,10.0,False,,3rd Class Passenger,True,Southampton,,46.9,False
748,"GOODWIN, Master Sidney Leslie",male,1.0,False,,3rd Class Passenger,True,Southampton,[4],46.9,False
749,"GOODWIN, Miss Jessie Allis Mary",female,12.0,False,,3rd Class Passenger,True,Southampton,,46.9,False
750,"GOODWIN, Miss Lillian Augusta",female,16.0,False,Servant,3rd Class Passenger,True,Southampton,,46.9,False
751,"GOODWIN, Mrs Augusta",female,43.0,True,,3rd Class Passenger,True,Southampton,,46.9,False
752,"GOODWIN, Mr Charles Edward",male,14.0,False,Scholar,3rd Class Passenger,True,Southampton,,46.9,False
753,"GOODWIN, Mr Frederick Joseph",male,42.0,True,Engineer,3rd Class Passenger,True,Southampton,,46.9,False
754,"GORDON, Mr J.",male,29.0,True,Trimmer,Engineering Crew,False,Southampton,,0.0,False
755,"GOREE, Mr Frank",male,40.0,True,Greaser,Engineering Crew,False,Southampton,[222],0.0,False
756,"GOSHAWK, Mr Alfred James",male,40.0,True,Saloon Steward (1st class),Victualling Crew,False,Belfast,,0.0,False
757,"GOSLING, Mr Bertram James",male,22.0,True,Trimmer,Engineering Crew,False,Southampton,,0.0,False
758,"GOSLING, Mr Frank Henry",male,25.0,True,Trimmer,Engineering Crew,False,Southampton,,0.0,False
759,"GRACIE, Colonel Archibald",male,53.0,True,Writer,1st Class Passenger,True,Southampton,B,28.5,True
760,"GRADIDGE, Mr Ernest Edward",male,22.0,True,Fireman,Engineering Crew,False,Southampton,[276],0.0,False
761,"GRAHAM, Miss Margaret Edith",female,19.0,True,,1st Class Passenger,True,Southampton,3,153.46249999999998,True
762,"GRAHAM, Mrs Edith",female,58.0,True,,1st Class Passenger,True,Southampton,3,153.46249999999998,True
763,"GRAHAM, Mr George Edward",male,38.0,True,Sales Manager,1st Class Passenger,True,Southampton,[147],30.0,False
764,"GRAHAM, Mr Thomas Gibson",male,28.0,True,Fireman,Engineering Crew,False,Belfast,,0.0,True
765,"GREEN, Mr George",male,20.0,True,Trimmer,Engineering Crew,False,Southampton,,0.0,False
766,"GREEN, Mr George",male,41.0,True,Farrier,3rd Class Passenger,True,Southampton,,8.05,False
767,"GREENBERG, Mr Samuel",male,51.0,True,,2nd Class Passenger,True,Southampton,[19],13.0,False
768,"GREENFIELD, Mrs Blanche",female,45.0,True,,1st Class Passenger,True,Cherbourg,7,63.358333333333334,True
769,"GREENFIELD, Mr William Bertram",male,23.0,True,,1st Class Passenger,True,Cherbourg,7,63.358333333333334,True
770,"GREGORY, Mr David",male,43.0,True,Greaser,Engineering Crew,False,Southampton,,0.0,False
771,"GREGSON, Miss Mary Josephine",female,45.0,True,Stewardess,Victualling Crew,False,Southampton,16,0.0,True
772,"GROSCLAUDE, Mr Gérald",male,24.0,True,Waiter,Restaurant Staff,False,Southampton,,0.0,False
773,"GRØNNESTAD, Mr Daniel Danielsen",male,32.0,True,General Labourer,3rd Class Passenger,True,Southampton,,8.3625,False
774,"GUEST, Mr Charles Robert",male,24.0,True,General Labourer,3rd Class Passenger,True,Southampton,,8.05,False
775,"GUGGENHEIM, MrBenjamin",male,46.0,True,Businessman,1st Class Passenger,True,Cherbourg,,79.2,False
776,"GUMERY, Mr George",male,24.0,True,Mess Steward,Engineering Crew,False,Southampton,,0.0,False
777,"GUNN, Mr Joseph Alfred",male,30.0,True,Assistant Saloon Steward (2nd Class),Victualling Crew,False,Southampton,,0.0,False
778,"GUSTAFSSON, Mr Alfred Ossian",male,19.0,True,General Labourer,3rd Class Passenger,True,Southampton,,9.845833333333333,False
779,"GUSTAFSSON, Mr Anders Vilhelm",male,37.0,True,General Labourer,3rd Class Passenger,True,Southampton,[98],7.925000000000001,False
780,"GUSTAFSSON, Mr Johan Birger",male,28.0,True,,3rd Class Passenger,True,Southampton,,7.925000000000001,False
781,"GUSTAFSSON, Mr Karl Gideon",male,19.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.775,False
782,"GUY, Mr Elgar John",male,29.0,True,Boots,Victualling Crew,False,Southampton,5,0.0,True
783,"GWINN, Mr William Logan",male,37.0,True,Postal Clerk / Postman,Victualling Crew,False,Southampton,,0.0,False
784,"HAAS, Miss Aloisia",female,24.0,True,General Labourer,3rd Class Passenger,True,Southampton,,8.85,False
785,"HAGGAN, Mr John",male,35.0,True,Fireman,Engineering Crew,False,Belfast,3,0.0,True
786,"HAGLAND, Mr Ingvald Olai Olsen",male,28.0,True,Fisherman,3rd Class Passenger,True,Southampton,,6.966666666666667,False
787,"HAGLAND, Mr Konrad Mathias Reiersen",male,19.0,True,General Labourer,3rd Class Passenger,True,Southampton,,6.966666666666667,False
788,"HAINES, Mr Albert",male,31.0,True,Boatswain Mate,Deck Crew,False,Belfast,9,0.0,True
789,"HAKKARAINEN, Mrs Elin Matilda",female,24.0,True,,3rd Class Passenger,True,Southampton,15,15.85,True
790,"HAKKARAINEN, Mr Pekka Pietari",male,28.0,True,General Labourer,3rd Class Passenger,True,Southampton,,15.85,False
791,"HALE, Mr Reginald",male,31.0,True,Gardener,2nd Class Passenger,True,Southampton,[75],13.0,False
792,"HALFORD, Mr Richard",male,27.0,True,3rd Class Steward,Victualling Crew,False,Southampton,15,0.0,True
793,"HALL, Mr Frank Alfred James",male,40.0,True,Scullion,Victualling Crew,False,Southampton,,0.0,False
794,"HALL, Mr J.",male,32.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
795,"HALLETT, Mr George Alexander",male,23.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
796,"HAMBLYN, Mr Ernest William",male,47.0,True,2nd Class Bedroom Steward,Victualling Crew,False,Southampton,,0.0,False
797,"HAMILTON, Mr Ernest",male,25.0,True,Assistant Smoke Room Steward (1st class),Victualling Crew,False,Belfast,,0.0,False
798,"HAMPE, Mr Léon Jérome",male,19.0,True,Painter & Decorator,3rd Class Passenger,True,Southampton,,9.5,False
799,"HANDS, Mr Bernard",male,54.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
800,"HANNAM, Mr George",male,30.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
801,"HANSEN, Mrs Jennie Louise",female,45.0,True,,3rd Class Passenger,True,Southampton,11,14.108333333333333,True
802,"HANSEN, Mr Claus Peter",male,41.0,True,Barber,3rd Class Passenger,True,Southampton,,14.108333333333333,False
803,"HANSEN, Mr Henry Damsgaard",male,20.0,True,Manufacturer,3rd Class Passenger,True,Southampton,[69],7.854166666666666,False
804,"HANSEN, Mr Jens Henrik Marius Juul",male,25.0,True,Farmer,3rd Class Passenger,True,Southampton,,7.854166666666666,False
805,"HARBECK, Mr William H.",male,45.0,True,Cinematographer,2nd Class Passenger,True,Southampton,[35],13.0,False
806,"HARDER, Mrs Dorothy",female,21.0,True,,1st Class Passenger,True,Cherbourg,5,55.44166666666666,True
807,"HARDER, Mr George Achilles",male,25.0,True,Businessman,1st Class Passenger,True,Cherbourg,5,55.44166666666666,True
808,"HARDER, Mr William",male,39.0,True,Window Cleaner,Deck Crew,False,Southampton,14,0.0,True
809,"HARDING, Mr Alfred John",male,21.0,True,Assistant Pantry Steward (2nd class),Victualling Crew,False,Southampton,,0.0,False
810,"HARDWICK, Mr Reginald",male,21.0,True,Kitchen Porter,Victualling Crew,False,Southampton,11,0.0,True
811,"HARDY, Mr John",male,40.0,True,Chief Second Class Steward,Victualling Crew,False,Belfast,D,0.0,True
812,"HARGADON, Miss Kate",female,17.0,False,Cook,3rd Class Passenger,True,Queenstown,,7.733333333333333,False
813,"HARKNETT, Miss Alice Phoebe",female,21.0,True,Domestic Kitchen Servant,3rd Class Passenger,True,Southampton,,7.55,False
814,"HARPER, Miss Annie Jessie",female,6.0,False,,2nd Class Passenger,True,Southampton,11,33.0,True
815,"HARPER, Mrs Myra Raymond",female,49.0,True,,1st Class Passenger,True,Cherbourg,3,76.72916666666667,True
816,"HARPER, Mr Henry Sleeper",male,48.0,True,Of Independent Means,1st Class Passenger,True,Cherbourg,3,76.72916666666667,True
817,"HARPER, Rev. John",male,39.0,True,Priest / Minister,2nd Class Passenger,True,Southampton,,33.0,False
818,"HARRINGTON, Mr Charles Henry",male,37.0,True,Servant,1st Class Passenger,True,Southampton,,42.4,False
819,"HARRIS, Mrs Irene",female,35.0,True,,1st Class Passenger,True,Southampton,D,83.47500000000001,True
820,"HARRIS, Mr Amos",male,24.0,True,Trimmer,Engineering Crew,False,Southampton,,0.0,False
821,"HARRIS, Mr Charles William",male,19.0,True,Saloon Steward (2nd class),Victualling Crew,False,Southampton,,0.0,False
822,"HARRIS, Mr Clifford Henry",male,17.0,False,Bell Boy,Victualling Crew,False,Southampton,,0.0,False
823,"HARRIS, Mr Edward John",male,29.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
824,"HARRIS, Mr Edward Matthew",male,17.0,False,Assistant Pantryman Steward (1st Class),Victualling Crew,False,Southampton,,0.0,False
825,"HARRIS, Mr Fred",male,39.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,True
